epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.2558,0.94582,1.379,2.14291,1.0781,0.00311,0.93333,0.12414,0.03986,0,0,0,0,2.29099,207.299,3.64144,2.2433,0.091,0.001,0.001
2,123.5,1.17887,1.15287,1.32838,1.12133,0.00693,0.83333,0.1305,0.03667,0,0,0,0,3.16474,1348,3.23132,5.76682,0.0810979,0.00209792,0.00209792
3,181.101,1.34993,1.09316,1.31202,1.17774,0.00315,0.3,0.00215,0.00038,0,0,0,0,4.58964,3386.53,4.80899,42.6719,0.0711937,0.00319366,0.00319366
4,239.412,1.36993,0.97647,1.16526,1.18718,0.00315,0.3,0.00215,0.00038,0,0,0,0,3.86329,1405.26,6.57169,41.3239,0.0612872,0.00428723,0.00428723
5,297.771,1.34222,0.81737,1.09949,1.27523,0.00315,0.3,0.00215,0.00038,0,0,0,0,4.96559,265.392,182.246,38.6553,0.0513786,0.00537862,0.00537862
6,355.787,1.37766,0.79328,1.18437,1.2201,0.00315,0.3,0.00215,0.00038,0,0,0,0,5.13474,142.764,307.272,50.2078,0.0414678,0.00646782,0.00646782
7,416.865,1.32247,0.7978,1.0284,1.20341,0.00011,0.03333,6e-05,1e-05,0.00011,0.03333,6e-05,1e-05,4.00855,8329.28,8968.47,196.359,0.0315549,0.00755486,0.00755486
8,478.723,1.19717,0.85494,0.98598,1.14255,0.00011,0.03333,6e-05,1e-05,0.00011,0.03333,6e-05,1e-05,4.02119,39907.1,29705.9,290.809,0.0216397,0.00863971,0.00863971
9,538.645,1.2426,0.83619,0.94826,1.11638,0.00282,0.6,0.00252,0.00056,0,0,0,0,4.00098,20314.2,9085.95,225.427,0.0117224,0.00972238,0.00972238
10,598.788,1.13064,0.79977,0.9063,1.1192,0.00282,0.6,0.00252,0.00056,0,0,0,0,4.79903,468.843,2412.6,133.36,0.0099109,0.0099109,0.0099109
11,655.944,1.05031,0.71152,0.83129,1.0704,0.00282,0.6,0.00252,0.00056,0,0,0,0,4.28652,596.657,398.696,48.2921,0.009901,0.009901,0.009901
12,722.04,1.08964,0.93419,0.85896,1.09322,0.00023,0.03333,7e-05,1e-05,0,0,0,0,5.49302,35.8322,1152.13,30.3643,0.0098911,0.0098911,0.0098911
13,791.03,1.15633,0.97013,0.93466,1.11545,0.00023,0.03333,7e-05,1e-05,0,0,0,0,4.79584,38.8389,4651.46,29.5952,0.0098812,0.0098812,0.0098812
14,860.202,1.10828,0.79502,0.81663,1.09025,0.00026,0.03333,9e-05,1e-05,0.00053,0.06667,0.0002,2e-05,4.72257,12.1996,656.996,16.6506,0.0098713,0.0098713,0.0098713
15,926.439,1.02861,0.751,0.76887,1.05567,0.00023,0.06667,0.00012,1e-05,0,0,0,0,4.95629,5.77152,375.664,8.7539,0.0098614,0.0098614,0.0098614
16,985.642,0.98665,0.69138,0.72575,1.01224,0.00023,0.06667,0.00012,1e-05,0,0,0,0,3.35713,7.09336,5.69391,3.7419,0.0098515,0.0098515,0.0098515
17,1043.25,0.98682,0.77943,0.71627,1.02301,0.30964,0.33333,0.25966,0.08001,0.21537,0.26667,0.14619,0.05169,2.63243,8.94765,3.94121,2.70483,0.0098416,0.0098416,0.0098416
18,1100.41,0.91933,0.68733,0.69808,1.00058,0.61256,0.1,0.09515,0.04266,0.45315,0.06667,0.06571,0.0261,2.78613,18.1184,6.15464,2.89889,0.0098317,0.0098317,0.0098317
19,1158.14,0.98294,0.84484,0.72096,1.02561,0.67077,0.6,0.5741,0.37487,0.67077,0.6,0.56915,0.38486,1.36926,1.96982,2.13558,1.44494,0.0098218,0.0098218,0.0098218
20,1215.55,0.90162,0.76475,0.66607,0.99462,0.52858,0.36667,0.30609,0.20733,0.71225,0.33025,0.35905,0.27741,2.40627,0.96013,3.48706,2.81333,0.0098119,0.0098119,0.0098119
21,1272.28,0.90455,0.70776,0.64488,0.98776,0.69301,0.1,0.11773,0.09177,0.38984,0.16667,0.15163,0.10941,2.81782,0.93904,4.57533,3.09909,0.009802,0.009802,0.009802
22,1329.94,0.92741,0.72229,0.65272,0.99986,0.24693,0.1,0.0679,0.04889,0.24693,0.1,0.06931,0.06434,2.95454,1.24771,5.16649,2.75293,0.0097921,0.0097921,0.0097921
23,1387.8,0.84041,0.67074,0.62415,0.9879,0.36902,0.13333,0.10132,0.05425,0.16825,0.2,0.08825,0.05205,3.39317,4.76827,4.91981,3.96064,0.0097822,0.0097822,0.0097822
24,1445.33,0.76815,0.61444,0.59238,0.94444,0.83542,0.73333,0.72566,0.51627,0.83542,0.73333,0.73063,0.52391,1.2633,1.76823,1.48117,1.33309,0.0097723,0.0097723,0.0097723
25,1502.06,0.82417,0.68774,0.61723,0.96677,0.96701,0.97733,0.99403,0.80294,0.96701,0.97733,0.99403,0.88733,0.81422,0.60838,1.34588,1.07515,0.0097624,0.0097624,0.0097624
26,1558.86,0.85155,0.67137,0.62596,0.95445,0.80396,0.7,0.84902,0.70765,0.80396,0.7,0.84902,0.7902,0.74269,0.56966,2.32344,1.01574,0.0097525,0.0097525,0.0097525
27,1615.79,0.77701,0.68217,0.59087,0.92218,0.86798,0.93333,0.98065,0.81243,0.86798,0.93333,0.98065,0.90376,0.75045,0.5165,1.74362,1.01885,0.0097426,0.0097426,0.0097426
28,1673.18,0.78534,0.68266,0.56795,0.94686,0.96625,1,0.995,0.79692,0.96625,1,0.995,0.90273,0.77722,0.61822,1.01285,1.02619,0.0097327,0.0097327,0.0097327
29,1730.77,0.77836,0.68616,0.56424,0.94927,0.96732,0.98686,0.99306,0.78952,0.96732,0.98686,0.99306,0.8599,0.77408,0.83334,1.82783,1.04957,0.0097228,0.0097228,0.0097228
30,1788.48,0.79027,0.63054,0.56304,0.94353,0.69538,1,0.89666,0.69893,0.69538,1,0.89666,0.7504,0.77775,1.17991,1.26349,0.98549,0.0097129,0.0097129,0.0097129
31,1846.09,0.78826,0.68175,0.59318,0.96466,1,0.93856,0.98643,0.81473,1,0.93856,0.98643,0.90316,0.68824,0.40427,1.62375,0.92681,0.009703,0.009703,0.009703
32,1903.76,0.77864,0.58398,0.55255,0.93788,0.99699,1,0.995,0.829,0.99699,1,0.995,0.93185,0.63457,0.44721,1.35004,0.90838,0.0096931,0.0096931,0.0096931
33,1960.35,0.71394,0.64422,0.53132,0.94022,0.98337,1,0.995,0.85596,0.98337,1,0.995,0.93375,0.61439,0.41814,1.0209,0.90316,0.0096832,0.0096832,0.0096832
34,2016.93,0.72056,0.58782,0.52583,0.93995,0.99266,1,0.995,0.82855,0.99266,1,0.995,0.90298,0.6506,0.55224,0.85706,0.92793,0.0096733,0.0096733,0.0096733
35,2073.55,0.7294,0.61527,0.5277,0.93573,0.99048,1,0.995,0.85079,0.99048,1,0.995,0.90375,0.6243,0.53302,0.73246,0.90352,0.0096634,0.0096634,0.0096634
36,2130.12,0.7216,0.6686,0.51858,0.92529,0.86954,0.83333,0.93983,0.7349,0.89443,0.83333,0.88809,0.68138,0.79827,1.72093,0.97599,1.00988,0.0096535,0.0096535,0.0096535
37,2186.26,0.71765,0.51079,0.50599,0.94648,0.98266,1,0.995,0.8837,0.98266,1,0.995,0.94325,0.6132,0.44086,0.47349,0.91611,0.0096436,0.0096436,0.0096436
38,2244.06,0.66405,0.55543,0.4928,0.91638,0.99503,1,0.995,0.85948,0.99503,1,0.995,0.95697,0.59393,0.42197,0.44226,0.89538,0.0096337,0.0096337,0.0096337
